인덱스,학교명, url, 공지사항url, 파싱tag, class, id
1,경희여중, http://www.kyungheegls.ms.kr/,http://www.kyungheegls.ms.kr/notice/board.do?bcfNo=642753, table, board_list,
2,동대부중, http://dongguk.ms.kr/,http://dongguk.ms.kr/normal/board.do?bcfNo=2030863, table, board_list,
3,동대문중, http://www.dongdaemun.ms.kr/index.do,http://www.dongdaemun.ms.kr/18628/subMenu.do, table,board_type01_tb_list,
4,면목중,http://www.myonmok.ms.kr/index.do,,,,
5,삼육중,http://36.ms.kr/,,,,
6,숭인중,http://www.soongin.ms.kr/index.do,,,,
7,용마중,http://www.yongma.ms.kr/index/index.do,,,,
8,장안중,http://www.jangan70.ms.kr/index/index.do,,,,
9,전일중,http://www.jeonil.ms.kr/index.do,,,,
10,전농중,http://www.jeonnong.ms.kr/index.do,,,,
11,장평중,http://www.jangpyung.ms.kr/index.do,,,,
12,정화여중,http://jhg.ms.kr/index/index.do,,,,
13,청량중,http://www.cheongryang.ms.kr/index/index.do,,,,
14,혜원여중,http://hyewon.ms.kr/index.do,,,,
15,휘경중,http://www.hwigyong.ms.kr/index/index.do,,,,
16,휘경여중,http://www.hwikyung.ms.kr/index/index.do,,,,
